,,,YEAR 2010,,,,,,,,,,,,,,,,,YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA,INDICATORS,UOM,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,,SUM,AVG,,,,
,Number of location change requests handled,request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,49,33,41,24,47,70,92,40,47,29,28,22,48,52,36,34,40,34,53,40,,883,17.31,,,,
Outbound,MFGFG receipts from production,palette,518,735,715,232,339,543,660,705,532,774,681,728,829,957,706,431,566,0,327,932,779,630,743,829,762,889,646,695,1022,464,778,708,714,627,956,948,1166,1009,803,674,766,1309,408,704,661,848,960,953,665,959,1237,,"37,222",729.84,,,,
,MFGFG putaways,palette,557,638,604,292,514,548,697,724,480,959,876,892,794,930,854,435,345,0,315,929,776,638,681,791,762,793,748,751,914,420,835,788,825,627,978,921,1194,1126,999,729,798,1165,430,643,670,892,1049,1013,775,1023,1209,,"38,346",751.88,,,,
,MFGFG location changes,palette,54,49,5,471,76,25,29,38,69,198,54,42,135,36,174,63,16,0,76,86,81,122,158,19,31,143,61,10,7,6,12,9,161,7,7,152,502,51,143,155,4,87,81,19,37,20,12,9,16,7,13,,"3,838",75.25,,,,
,Total quantity handled,quantity,638,679,1148,923,892,406,947,611,603,1589,756,1398,1725,2127,1806,879,785,0,295,1411,1135,1326,1018,1408,1216,975,1642,1358,1952,479,1709,1089,733,1071,1243,1633,756,1517,1416,1304,1840,2246,837,815,1368,1137,1609,1704,1517,1983,1743,,"61,397","1,203.86",,,,
,   Total shipped Type#1 Production units,palette,486,391,1018,221,460,331,641,361,371,589,528,689,587,588,681,471,457,0,175,614,446,475,313,637,610,507,612,414,899,301,615,639,318,430,744,478,506,892,826,667,799,1054,403,376,577,633,728,766,606,732,665,,"28,327",555.43,,,,
,   Total shipped Type#2 production units,palette,44,75,99,24,70,45,122,129,56,111,123,90,99,181,192,140,187,0,12,145,119,107,193,86,233,270,380,416,258,90,166,42,134,210,218,46,109,231,54,62,166,238,104,137,170,94,172,131,112,244,149,,"7,085",138.92,,,,
,"   Total shipped other units (Kits, samples)",quantity,108,213,31,678,362,30,184,121,176,889,105,619,1039,1358,933,268,141,0,108,652,570,744,512,685,373,198,650,528,795,88,928,408,281,431,251,1109,141,394,536,575,875,954,330,302,621,410,709,807,799,1007,929,,"25,955",508.92,,,,
,Total number of trucks handled,truck,41,35,73,21,38,32,55,33,34,53,46,55,47,50,56,43,37,0,12,54,46,45,38,58,60,63,71,61,81,32,61,59,36,49,72,42,44,71,62,51,73,90,42,41,56,53,64,59,57,70,61,,"2,583",50.65,,,,
Production – material flow activities,Pick from Kardex to Line,picking,1178,1720,2100,642,693,1895,1767,1946,1615,2107,2175,2290,2511,2449,2159,973,525,0,1327,2374,2004,1636,1757,2386,1977,2438,1822,2195,2898,1269,2328,2288,1829,1919,2606,3016,2900,3053,3267,2002,2838,3029,1093,1854,1988,2520,2358,2615,2672,3045,3491,,"105,539","2,069.39",,,,
,Pick from Secured Kardex to Line,picking,460,509,503,212,262,446,475,403,406,476,481,448,564,513,421,226,148,0,257,531,446,380,397,475,409,488,375,332,600,234,386,407,381,339,500,463,497,470,509,356,484,490,235,332,391,394,403,380,444,457,552,,"20,747",406.80,,Weekly,Shiftly,Hourly
,Receipt to DMC Collection Point CP,picking,155,180,222,126,148,247,237,195,191,247,217,183,264,297,249,197,207,0,110,260,270,175,228,307,289,386,277,187,317,153,232,223,252,225,256,304,305,302,284,228,235,347,155,179,154,299,253,192,217,253,347,,"11,763",230.65,Min,0,0,
,"Material movement to a specific production area (kit building, spareparts kitting) or location change (materials relocation in wharehouse)",picking,327,273,212,138,95,363,654,659,242,141,214,612,474,147,128,79,34,15,65,230,92,135,226,70,276,74,555,114,232,98,96,325,175,59,80,139,199,111,170,194,126,99,47,112,156,51,69,116,97,229,191,,"9,815",192.45,Max,0,0,
,Receipt from DMC to production line,picking,11,21,29,5,8,28,23,29,18,32,37,32,26,21,33,16,36,0,17,40,26,19,24,40,33,72,53,29,61,18,42,44,31,31,56,67,51,52,53,38,49,83,19,39,37,33,34,45,31,57,59,,"1,788",35.06,Avg,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stdev,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nsd,#DIV/0!,,
